vnu_id,subject_code,score,semester_id
22021001,INT2213,9,20232
22021002,INT2213,5,20232
22021003,INT2213,7,20232
22021004,INT2213,8,20232
22021005,INT2213,4,20232
22021006,INT2213,6,20232
22021007,INT2213,10,20232
22021008,INT2213,7,20232
22021009,INT2213,3,20232
22021010,INT2213,8,20232
22021011,INT2213,5,20232
22021012,INT2213,6,20232
22021013,INT2213,9,20232
22021014,INT2213,7,20232
22021015,INT2213,4,20232
22021016,INT2213,6,20241
22021017,INT2213,8,20241
22021018,INT2213,7,20241
22021019,INT2213,5,20241
22021020,INT2213,9,20241
22021021,INT2213,4,20241
22021022,INT2213,7,20241
22021023,INT2213,6,20241
22021024,INT2213,8,20241
22021025,INT2213,10,20241
22021026,INT2213,3,20241
22021027,INT2213,9,20241
22021028,INT2213,6,20241
22021029,INT2213,5,20241
22021030,INT2213,7,20241
